Timestamp,Ciclo,Tempo_QKD_ms,Tempo_PQC_ms,Tempo_Push_ms,Tempo_Total_ms
1767637938.1960416,1,0.02,1.12,174.21,290.89
1767637951.782303,2,0.02,0.20,118.91,233.91
1767637962.0263507,3,0.07,0.25,119.70,234.29
1767637972.2740622,4,0.03,0.33,124.19,239.04
1767637985.8594034,5,0.02,0.20,119.91,236.20
1767637996.104699,6,0.03,0.21,120.11,235.71
1767638006.3424404,7,0.03,0.23,119.23,236.58
1767638019.914138,8,0.04,0.82,117.20,231.76
1767638030.1635072,9,0.03,0.23,125.22,240.53
1767638040.4098585,10,0.04,0.60,126.51,245.71
1767638053.9865148,11,0.07,0.30,122.41,239.18
1767638064.2242963,12,0.02,0.16,118.43,232.60
1767638074.4634798,13,0.02,0.20,117.55,231.86
1767638088.0392616,14,0.14,0.33,125.84,244.33
1767638098.2862277,15,0.08,0.56,121.06,237.97
1767638108.5267684,16,0.02,0.24,117.83,231.84
1767638122.0864422,17,0.03,0.23,120.25,240.20
1767638132.3315415,18,0.02,0.19,118.47,237.54
1767638142.589702,19,0.03,0.44,130.13,249.90
1767638156.1508167,20,0.02,0.15,121.10,237.32
1767638166.3896575,21,0.02,0.16,117.17,231.51
1767638176.6293592,22,0.14,0.24,119.54,234.88
1767638186.868899,23,0.02,0.15,119.08,234.71
1767638200.4204926,24,0.02,0.14,119.18,235.71
1767638210.660059,25,0.02,0.20,118.64,233.29
1767638220.9621465,26,0.03,0.28,180.87,299.81
1767638234.5093088,27,0.02,0.18,117.47,231.53
1767638244.7588465,28,0.04,0.33,123.80,243.88
1767638255.01328,29,0.03,0.23,126.79,242.80
1767638268.544798,30,0.04,0.44,127.83,248.24
1767638278.7861977,31,0.02,0.14,122.33,240.78
1767638289.0314488,32,0.03,0.20,119.53,236.82
1767638302.4756365,33,0.03,0.25,121.00,235.90
1767638312.7199366,34,0.02,0.16,119.40,236.31
1767638322.9736762,35,0.10,0.50,122.98,243.61
1767638336.5530043,36,0.04,0.35,123.20,240.69
1767638346.8045628,37,0.04,0.25,123.83,243.76
1767638357.0515637,38,0.04,0.45,124.63,241.35
1767638370.6265972,39,0.05,0.45,123.87,244.65
1767638380.88136,40,0.03,0.28,130.23,245.26
1767638391.1318655,41,0.12,0.45,123.45,245.29
1767638401.3791924,42,0.03,0.26,124.31,244.50
1767638414.9751549,43,0.02,0.22,139.18,256.78
1767638425.224247,44,0.04,0.27,122.19,238.67
1767638435.4803674,45,0.04,0.37,129.93,247.29
1767638449.0518973,46,0.03,0.27,123.08,242.81
1767638459.3067005,47,0.04,0.34,126.34,245.49
1767638469.554555,48,0.04,0.58,126.39,245.02
1767638483.1315036,49,0.03,0.31,129.16,248.50
1767638493.3779907,50,0.05,0.42,119.05,236.59
1767638503.6180356,51,0.04,0.51,123.61,238.86
1767638517.0615244,52,0.03,0.31,124.02,242.71
1767638527.3155684,53,0.03,0.33,125.43,244.82
1767638537.5582414,54,0.03,0.27,119.56,233.43
1767638551.039887,55,0.03,0.28,123.57,238.50
1767638561.2831182,56,0.03,0.26,121.82,237.47
1767638571.52848,57,0.08,0.23,120.72,235.96
1767638584.7762604,58,0.03,0.20,120.38,235.09
1767638595.0205343,59,0.27,0.39,118.04,235.11
1767638605.272507,60,0.04,0.38,123.63,242.14
1767638618.440841,61,0.07,0.20,118.77,235.37
1767638628.685134,62,0.03,0.15,119.29,235.69
1767638638.924151,63,0.02,0.31,117.69,231.94
1767638649.1682985,64,0.02,0.21,119.17,235.02
1767638662.627996,65,0.02,0.17,119.48,235.17
1767638672.8750727,66,0.02,0.17,121.36,237.58
1767638683.1115935,67,0.02,0.20,118.68,233.33
1767638695.6019962,68,0.05,0.29,118.49,235.38
1767638705.8454278,69,0.02,0.13,118.58,234.64
1767638716.0830195,70,0.06,0.15,117.24,232.39
1767638729.6977015,71,0.04,0.32,125.07,240.54
1767638739.936979,72,0.04,0.35,120.62,235.88
1767638750.1879876,73,0.03,0.24,123.64,242.25
1767638768.9021275,1,net-traffic,457.25
1767638779.2576208,2,net-traffic,346.05
1767638789.6074662,3,net-traffic,346.81
1767638803.2472322,4,net-traffic,342.84
1767638813.6147716,5,net-traffic,359.70
1767638823.9603024,6,net-traffic,343.05
1767638837.178256,7,net-traffic,338.86
1767638847.5243204,8,net-traffic,339.10
1767638857.8933938,9,net-traffic,359.53
1767638871.2896633,10,net-traffic,343.68
1767638881.6482928,11,net-traffic,350.41
1767638892.0028377,12,net-traffic,349.72
1767638905.4379046,13,net-traffic,345.17
1767638918.0845976,1,net-traffic,472.16
